venue,latitude,longitude,sector
Balls Bluff,39.132,-77.5293,Northwest
Cabin John,39.0343,-77.1505,North
Clopper Lake,39.1454,-77.258,North
Cunningham Falls,39.5918,-77.4362,Northwest
Fountainhead - Central,38.7256,-77.3424,Occoquan
Fountainhead - East,38.72,-77.326,Occoquan
Fountainhead - West,38.7221,-77.3709,Occoquan
Great Falls,39.0003,-77.2484,North
Greenbelt,38.9936,-76.8952,North
Gunston Hall,38.6659,-77.1609,Occoquan
Hemlock Overlook,38.768,-77.4107,Occoquan
Jug Bay,38.7757,-76.7004,East
King's Landing,38.6258,-76.6718,East
Lake Accotink,38.7942,-77.2151,Occoquan
Lake Frank,39.1149,-77.1065,North
Lake Needwood,39.1185,-77.126,North
Little Bennett,39.2724,-77.2922,Northwest
Manassas,38.8047,-77.5701,South
Mason Neck,38.6424,-77.1979,Occoquan
Meadowood,38.6682,-77.1887,Occoquan
Morven Park,39.1405,-77.5724,Northwest
Occoquan,38.68,-77.2499,Occoquan
Oregon Ridge,39.4961,-76.6877,Patapsco
Patapsco - Avalon,39.228,-76.7256,Patapsco
Patapsco - Catonsville,39.2497,-76.7363,Patapsco
Patapsco - Glen Artney,39.2473,-76.7201,Patapsco
Patapsco - Granite,39.3392,-76.866,Patapsco
Patapsco - McKeldin,39.3601,-76.8883,Patapsco
Patapsco - Rockburn,39.221,-76.7646,Patapsco
Patuxent River,38.7531,-76.7092,East
Pohick Bay,38.6742,-77.1669,Occoquan
Prince William - Happyland,38.5811,-77.4132,South
Prince William - Pine Grove,38.5643,-77.3482,South
Prince William - Williams,38.5578,-77.3458,South
Quantico - Combat,38.5945,-77.4618,South
Quantico - Hangman,38.6147,-77.4748,South
Rosaryville,38.775,-76.8182,East
Smokey Glen,39.1258,-77.2679,North
Swanson Road,38.8606,-76.7074,East
Wheaton,39.0522,-77.0433,North